Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,1: Escale,1: Resolution,2: Escale,2: Resolution
5376,System Check,101.549004,,,,,Fri Jun 19 2026 - 04:49:08,User,,ppm,System Check,Pass,,7.51849,143.188,7.51878,142.169
5377,Health Check,153.557999,,,,,Fri Jun 19 2026 - 04:49:51,User,,,Health Check,Pass,Detector Quality: 1.02 — Pass; Fault Free: Pass; Battery Health  98%: Pass; C#1 Voltage  3864 mV: Pass; C#2 Voltage  3861 mV: Pass; Tube Health: Pass; System Check: Reading #5376 - Pass; Filter Wheel Check: Pass; XRay LED Test: Pass; Wi-Fi: Pass; Bluetooth: Pass; GPS: Pass; ,,,,
5388,Mining,19.448,,,,,Fri Jun 19 2026 - 05:27:35,User,1.5,ppm,,,,,LG_Spring_0.63mm_R2,Mining,11.8657 ± 10.4385,13.2214 ± 2.0908,<LOD=5.4376,990697.6250 ± 226.3053,<LOD=2.3559,,<LOD=12.1122,<LOD=41.4981,<LOD=60.8088,23.0351 ± 5.0225,7421.8301 ± 90.4343,<LOD=0.0000,<LOD=3.8691,,268.8439 ± 34.5506,<LOD=1.6505,2.2765 ± 0.9105,<LOD=14.7581,19.7240 ± 1.8326,<LOD=10.4851,10.6926 ± 1.6172,<LOD=0.0000,<LOD=21.1805,<LOD=1.4718,<LOD=13.6632,1451.8647 ± 4.1635,<LOD=0.0000,2.8089 ± 1.6484,<LOD=246.5955,<LOD=4.9639,<LOD=118.2253,<LOD=0.0000,<LOD=1.4911,69.0262 ± 4.3280,7.2036 ± 2.4866,,,,,,
5390,Mining,19.723,,,,,Fri Jun 19 2026 - 05:28:51,User,1.5,ppm,,,,,LG_Spring_0.63mm_R2,Mining,17.2528 ± 15.1774,7.2351 ± 1.9831,<LOD=5.6995,992171.6250 ± 227.9484,<LOD=2.4744,,<LOD=12.4840,<LOD=38.8568,<LOD=71.9377,16.5641 ± 4.9442,6030.1982 ± 84.7162,<LOD=0.0000,<LOD=3.5148,,175.0116 ± 32.4338,<LOD=2.1188,<LOD=1.5571,<LOD=9.3306,19.9364 ± 1.8775,<LOD=10.8952,4.9490 ± 1.5648,<LOD=0.0000,<LOD=21.7881,<LOD=1.5506,<LOD=14.0826,1494.4180 ± 4.3140,<LOD=0.0000,<LOD=3.0345,<LOD=256.2246,<LOD=5.0594,<LOD=125.8324,<LOD=0.0000,<LOD=1.1971,62.7939 ± 4.2868,<LOD=3.7867,,,,,,
5391,Mining,29.909,,,,,Fri Jun 19 2026 - 05:30:06,User,1.5,ppm,,,,,LG_Spring_1.18mm_R2,Mining,<LOD=13.3500,9.0418 ± 1.9801,<LOD=5.5878,686140.3750 ± 1839.1776,<LOD=2.3013,300561.2812 ± 811.6818,<LOD=12.1699,<LOD=35.3644,<LOD=22.5399,42.1447 ± 5.2751,6082.9331 ± 83.9076,<LOD=0.0000,<LOD=3.0894,269.2488 ± 107.8167,4576.9585 ± 95.8943,<LOD=1.6138,<LOD=1.2995,30.3701 ± 6.5697,22.9830 ± 1.8874,<LOD=10.3627,36.3860 ± 1.9736,<LOD=0.0000,<LOD=21.4127,<LOD=1.4910,<LOD=13.9368,1774.8468 ± 4.5324,<LOD=0.0000,4.2930 ± 1.7215,338.0952 ± 40.6264,<LOD=5.2100,<LOD=17.0097,<LOD=0.0000,<LOD=1.2577,111.0709 ± 4.9347,<LOD=3.9282,,,,,,
5392,Mining,20.021,,,,,Fri Jun 19 2026 - 05:30:47,User,1.5,ppm,,,,,LG_Spring_1.18mm_R2,Mining,6.9699 ± 6.8539,6.6107 ± 1.9142,6.3727 ± 4.0252,992571.6875 ± 219.2565,<LOD=2.4322,,<LOD=11.9405,<LOD=32.6097,<LOD=78.8264,32.8083 ± 5.2932,4544.6299 ± 73.7559,<LOD=0.0000,<LOD=3.2005,,1110.2231 ± 55.2114,<LOD=1.7828,<LOD=1.3105,17.7188 ± 6.5640,20.5130 ± 1.8227,<LOD=10.2960,3.0986 ± 1.5559,<LOD=0.0000,<LOD=20.8510,<LOD=1.5544,<LOD=13.4639,1612.0967 ± 4.3417,<LOD=0.0000,<LOD=2.3824,<LOD=245.2879,<LOD=5.3978,<LOD=117.2542,<LOD=0.0000,<LOD=1.1398,67.2464 ± 4.2734,<LOD=3.7759,,,,,,
5393,Mining,19.971001,,,,,Fri Jun 19 2026 - 05:31:33,User,1.5,ppm,,,,,LG_Spring_1.18mm_R2,Mining,<LOD=16.4734,10.3349 ± 2.0708,11.6518 ± 4.3735,991980.0625 ± 218.1041,<LOD=2.4357,,<LOD=11.9065,<LOD=35.8363,<LOD=65.2817,31.1930 ± 5.2039,5510.5625 ± 79.1830,<LOD=0.0000,<LOD=3.2466,,270.1567 ± 34.6041,<LOD=2.5911,<LOD=1.3264,<LOD=8.7176,22.3845 ± 1.9318,<LOD=10.2665,40.9736 ± 2.1477,<LOD=0.0000,<LOD=20.7730,<LOD=1.7057,<LOD=13.5538,2040.9105 ± 4.8620,<LOD=0.0000,6.2338 ± 1.8469,<LOD=245.7533,<LOD=5.8224,<LOD=122.4342,<LOD=0.0000,<LOD=1.2337,75.5576 ± 4.4493,<LOD=4.1986,,,,,,
5394,Mining,20.273001,,,,,Fri Jun 19 2026 - 05:32:31,User,1.5,ppm,,,,,LG_Spring_1.8_mm_R2,Mining,<LOD=10.2684,23.2759 ± 2.3121,<LOD=5.5384,987804.6250 ± 232.7547,<LOD=2.3934,,<LOD=11.9384,<LOD=46.6700,<LOD=61.2936,39.9907 ± 5.4630,10085.2979 ± 101.4775,<LOD=0.0000,<LOD=3.1773,,204.9194 ± 32.1252,<LOD=1.6185,<LOD=1.3041,9.4641 ± 6.3471,19.2857 ± 1.8214,<LOD=10.2803,2.6534 ± 1.5527,<LOD=0.0000,<LOD=20.9101,<LOD=1.5526,<LOD=13.5031,1714.2360 ± 4.4843,<LOD=0.0000,<LOD=2.6689,<LOD=235.2090,<LOD=5.1882,<LOD=112.8632,<LOD=0.0000,<LOD=1.1611,89.9999 ± 4.7345,<LOD=3.8829,,,,,,
5397,Mining,20.146,,,,,Fri Jun 19 2026 - 05:35:01,User,1.5,ppm,,,,,LG_Lake_0.63mm_R2,Mining,11.9095 ± 10.4770,244.1595 ± 5.4817,<LOD=6.3776,931513.7500 ± 540.1948,<LOD=3.2095,,<LOD=12.5645,<LOD=99.8436,<LOD=55.6413,348.3656 ± 10.9515,65684.7656 ± 193.2236,<LOD=0.0000,<LOD=3.2835,,341.8417 ± 34.0448,1.7187 ± 1.1246,<LOD=1.3372,131.6580 ± 9.3990,32.3932 ± 2.1145,<LOD=10.7938,4.0414 ± 1.4462,<LOD=0.0000,<LOD=22.1598,<LOD=2.3706,<LOD=14.2938,1230.2876 ± 3.9313,<LOD=0.0000,<LOD=2.6622,<LOD=188.2011,<LOD=4.6406,<LOD=98.7705,<LOD=0.0000,<LOD=1.1569,455.1051 ± 9.5942,<LOD=4.3693,,,,,,
5398,Mining,30.087999,,,,,Fri Jun 19 2026 - 05:35:59,User,1.5,ppm,,,,,LG_Lake_0.63mm_R2,Mining,7.4896 ± 7.4745,235.2606 ± 5.4737,<LOD=6.1058,772791.4375 ± 1530.8124,<LOD=3.0396,156658.5469 ± 735.4852,<LOD=13.0670,<LOD=105.2539,<LOD=19.8206,342.8484 ± 10.9951,67559.6641 ± 207.2168,<LOD=0.0000,<LOD=6.3440,<LOD=213.8926,315.9056 ± 34.8527,<LOD=1.7296,<LOD=1.3758,124.3202 ± 9.4494,28.1304 ± 2.0749,<LOD=11.1698,2.3703 ± 1.5067,<LOD=0.0000,<LOD=23.0896,<LOD=1.7407,<LOD=14.8183,1312.6677 ± 4.1369,<LOD=0.0000,<LOD=2.6316,159.8186 ± 46.1950,<LOD=6.5179,<LOD=17.0990,<LOD=12.7903,<LOD=1.2217,457.4446 ± 9.7406,4.0987 ± 2.4607,,,,,,
5399,Mining,19.478001,,,,,Fri Jun 19 2026 - 05:36:33,User,1.5,ppm,,,,,LG_Lake_0.63mm_R2,Mining,<LOD=16.7809,245.4388 ± 5.4672,<LOD=5.4058,932063.1250 ± 533.6471,<LOD=2.9533,,<LOD=12.4874,<LOD=99.5532,<LOD=54.2355,327.6680 ± 10.6139,65249.6211 ± 192.3751,<LOD=0.0000,7.6910 ± 2.6686,,328.6141 ± 33.5202,<LOD=2.1004,<LOD=1.3115,130.8468 ± 9.5432,32.5852 ± 2.0942,<LOD=10.7473,5.1793 ± 1.4120,<LOD=0.0000,<LOD=22.0006,<LOD=1.5789,<LOD=14.2784,1143.1519 ± 3.7743,<LOD=0.0000,<LOD=2.5676,<LOD=185.4913,<LOD=4.4811,<LOD=95.7382,<LOD=12.6356,<LOD=1.1329,466.0358 ± 9.6732,<LOD=4.4165,,,,,,
5400,Mining,27.802,,,,,Fri Jun 19 2026 - 05:38:10,User,1.5,ppm,,,,,LG_Lake_1.18_R2,Mining,16.5810 ± 14.8872,251.6834 ± 5.7460,<LOD=6.2541,795736.5625 ± 1511.0374,<LOD=3.0360,131134.8125 ± 803.5687,<LOD=13.2991,<LOD=107.9191,<LOD=21.6834,348.8253 ± 11.3007,70409.6719 ± 211.4569,<LOD=0.0000,<LOD=5.5602,<LOD=263.7984,225.7520 ± 32.8086,<LOD=1.7021,<LOD=1.3555,137.7247 ± 9.7295,28.9213 ± 2.1205,<LOD=11.3804,3.6982 ± 1.4729,<LOD=0.0000,<LOD=23.6139,<LOD=1.7046,<LOD=15.1962,1281.3331 ± 4.1633,<LOD=0.0000,<LOD=2.6480,<LOD=115.4000,<LOD=4.7972,<LOD=19.4305,<LOD=13.4493,<LOD=1.1807,424.4659 ± 9.5949,<LOD=4.1202,,,,,,
5401,Mining,20.309999,,,,,Fri Jun 19 2026 - 05:38:43,User,1.5,ppm,,,,,LG_Lake_1.18_R2,Mining,20.0691 ± 17.6549,253.0995 ± 5.5498,<LOD=5.9437,928014.6250 ± 557.4531,<LOD=2.9145,,<LOD=12.6135,<LOD=101.8334,<LOD=67.7428,344.6569 ± 10.8826,68843.1953 ± 195.4402,<LOD=0.0000,5.9927 ± 2.6553,,391.4046 ± 35.2368,<LOD=1.6659,<LOD=1.3329,134.7589 ± 9.7091,30.8198 ± 2.0904,<LOD=10.7818,2.0935 ± 1.4585,<LOD=0.0000,<LOD=22.2846,<LOD=1.6812,<LOD=14.3718,1401.7262 ± 4.1891,<LOD=0.0000,<LOD=2.5989,<LOD=188.7757,<LOD=4.8660,<LOD=99.1287,<LOD=13.1306,<LOD=1.1513,557.5912 ± 10.5450,<LOD=3.6850,,,,,,
5402,Mining,20.246,,,,,Fri Jun 19 2026 - 05:39:15,User,1.5,ppm,,,,,LG_Lake_1.18_R2,Mining,25.2077 ± 22.1751,252.5706 ± 5.6084,<LOD=5.5235,927620.3125 ± 570.3164,<LOD=3.0930,,<LOD=12.8304,<LOD=102.7822,<LOD=57.5846,344.3244 ± 10.9853,69274.3125 ± 197.4742,<LOD=0.0000,<LOD=5.0269,,382.4001 ± 35.2684,<LOD=1.6671,<LOD=1.3333,135.6302 ± 9.7090,32.5240 ± 2.1348,<LOD=11.0702,3.1794 ± 1.4746,<LOD=0.0000,<LOD=22.7100,<LOD=1.5926,<LOD=14.5902,1365.6814 ± 4.1751,<LOD=0.0000,<LOD=2.6811,<LOD=192.6592,<LOD=4.8442,<LOD=99.2028,<LOD=13.4072,<LOD=1.1764,563.8218 ± 10.6990,<LOD=3.6648,,,,,,
5403,Mining,19.933001,,,,,Fri Jun 19 2026 - 05:40:14,User,1.5,ppm,,,,,LG_Lake_1.8mm_R2,Mining,22.7623 ± 20.0240,212.1339 ± 5.2834,<LOD=6.4289,935984.5000 ± 535.6751,<LOD=3.5798,,<LOD=12.8893,<LOD=98.6670,<LOD=59.5822,253.3807 ± 9.8898,61469.4219 ± 193.9744,<LOD=0.0000,<LOD=5.9363,,208.9552 ± 31.6365,<LOD=1.6883,<LOD=1.3349,143.0464 ± 9.3898,32.3894 ± 2.1583,<LOD=11.1411,<LOD=3.6119,<LOD=0.0000,<LOD=22.8367,<LOD=1.7282,<LOD=14.6760,1331.2035 ± 4.1792,<LOD=0.0000,<LOD=2.6624,<LOD=190.2722,<LOD=4.8728,<LOD=134.8795,<LOD=0.0000,<LOD=1.1179,342.2473 ± 8.6146,<LOD=3.6633,,,,,,
